DISTRICTS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
DAKSHINA KANNADA,2011,0.0,0.8,3.1,83.6,98.6,1049.0,1081.9,959.6,525.7,272.0,149.7,0.0
DAVANGERE,2008,0.0,1.0,90.2,28.2,90.0,61.8,60.2,116.0,94.2,82.0,34.6,0.4
DAVANGERE,2009,0.0,0.0,31.7,20.3,130.8,99.0,137.3,160.9,220.4,117.4,39.4,58.2
DAVANGERE,2010,17.7,0.0,5.2,58.4,61.0,77.4,130.5,193.2,139.5,142.9,218.5,0.0
DAVANGERE,2011,0.0,0.0,0.5,49.9,74.7,96.3,79.9,90.4,47.3,92.0,9.7,0.0
DHARWAD,2008,0.0,0.1,94.4,42.4,35.8,80.7,92.6,175.0,110.1,59.7,82.7,0.1
DHARWAD,2009,0.0,0.0,11.8,22.2,48.0,119.3,190.1,59.2,233.8,107.3,55.2,43.8
DHARWAD,2010,8.6,1.3,0.7,43.4,76.1,82.9,148.8,156.5,122.7,116.0,121.4,0.9
DHARWAD,2011,0.0,7.7,0.3,66.2,45.7,153.1,94.8,135.9,64.2,167.1,3.7,0.0
GADAG,2008,0.0,0.1,195.0,51.6,46.4,64.4,40.1,60.7,90.7,85.4,98.0,1.4
GADAG,2009,0.0,0.0,11.4,32.5,78.1,88.2,60.6,242.8,169.9,170.8,44.7,62.1
GADAG,2010,6.6,9.3,0.0,23.0,71.0,70.7,85.1,158.9,69.1,78.5,147.6,0.2
GADAG,2011,0.0,0.6,2.0,63.2,50.8,55.3,53.4,104.2,29.1,68.7,0.6,0.0
KALABURGI,2008,0.0,4.5,143.1,6.1,5.1,62.2,102.9,152.6,168.7,74.4,16.3,8.1
KALABURGI,2009,0.0,0.0,7.5,7.7,30.4,98.8,45.0,198.9,293.2,180.1,38.8,6.2
KALABURGI,2010,7.8,5.3,1.2,14.9,27.5,117.9,247.3,245.6,135.2,87.6,45.1,3.5
KALABURGI,2011,1.6,13.9,2.0,38.0,30.2,72.7,201.6,210.3,51.2,60.5,1.1,0.0
HASSAN,2008,0.0,39.5,152.0,57.5,87.8,132.0,193.4,257.6,110.5,145.9,24.6,0.1
HASSAN,2009,0.0,0.0,23.9,50.8,97.3,69.3,314.4,165.4,271.2,57.9,56.9,44.1
HASSAN,2010,16.6,0.0,7.5,94.6,128.4,106.2,172.0,178.2,168.9,206.9,211.2,1.9
HASSAN,2011,0.0,7.2,17.1,84.8,129.4,123.7,133.6,111.6,66.0,187.8,100.5,2.1
HAVERI,2008,0.0,0.6,109.3,30.7,77.0,105.2,82.5,170.9,66.7,64.6,24.6,0.3
HAVERI,2009,0.0,0.0,19.5,9.6,60.9,65.8,284.1,97.6,184.3,107.8,54.1,40.6
HAVERI,2010,7.8,0.4,5.1,44.7,72.6,121.3,168.9,154.5,120.2,118.8,162.6,1.0
HAVERI,2011,0.0,1.5,0.0,109.9,54.1,128.4,135.0,117.6,79.8,132.2,17.2,0.0
KODAGU,2008,0.0,19.5,177.7,33.4,60.2,513.2,575.6,577.4,222.4,195.4,10.1,1.9
KODAGU,2009,0.0,0.0,88.2,46.4,74.3,219.1,1318.1,271.3,337.8,145.7,161.2,82.3
KODAGU,2010,12.4,0.9,11.5,91.2,109.2,325.1,619.2,398.2,263.9,221.8,251.6,11.1
KODAGU,2011,0.7,22.2,13.2,138.5,107.5,723.7,625.5,497.4,303.0,220.3,94.8,0.2
KOLAR,2008,0.0,14.7,90.4,0.4,112.4,40.6,147.8,126.2,192.6,121.2,37.7,2.1
KOLAR,2009,0.1,0.0,9.9,14.4,67.2,78.9,18.0,120.6,228.8,32.6,66.5,9.8
KOLAR,2010,0.6,1.0,0.0,67.8,139.6,147.4,143.1,76.3,109.7,40.8,178.6,16.0
KOLAR,2011,0.0,21.1,0.0,88.0,69.3,45.2,120.0,133.9,50.4,146.5,48.6,11.4
KOPPAL,2008,0.0,3.9,165.9,7.5,32.6,29.8,29.0,50.5,193.5,63.3,34.6,2.3
KOPPAL,2009,0.0,0.0,3.1,6.1,74.8,61.8,27.8,174.4,228.7,209.5,73.4,19.4
KOPPAL,2010,11.3,0.0,0.0,20.4,101.0,70.2,94.9,288.2,72.9,45.6,96.2,0.0
KOPPAL,2011,0.0,0.0,0.5,33.7,56.3,52.0,125.6,122.4,40.7,40.4,2.6,0.0
MANDYA,2008,0.0,6.6,141.8,23.0,34.9,89.7,85.8,112.7,56.5,124.3,14.0,1.9
MANDYA,2009,0.0,0.0,5.5,27.7,64.6,36.6,41.0,157.6,216.3,55.4,62.4,10.4
MANDYA,2010,7.0,0.0,10.8,94.5,88.1,91.2,91.6,113.8,98.6,102.0,183.5,2.2
MANDYA,2011,0.0,21.4,13.9,123.3,101.6,18.2,43.1,95.9,31.3,192.6,118.3,0.4
MYSURU,2008,0.0,9.7,142.4,35.2,103.6,69.8,106.5,108.3,50.5,137.2,9.5,0.3
MYSURU,2009,0.0,0.0,40.0,32.3,94.9,30.9,171.2,137.3,154.6,66.4,86.6,9.4
MYSURU,2010,0.0,0.1,3.2,152.2,11.7,93.7,98.9,120.4,72.5,145.9,220.9,4.4
MYSURU,2011,0.6,15.5,24.4,138.8,120.8,70.9,88.9,111.7,69.8,204.8,87.6,0.6
RAICHUR,2008,0.0,7.3,147.9,3.3,23.3,18.7,47.2,101.8,144.2,64.7,25.1,0.0
RAICHUR,2009,0.0,0.0,2.7,3.8,45.1,67.0,13.4,128.0,220.5,698.1,61.6,5.7
RAICHUR,2010,16.4,0.0,0.0,4.9,23.4,107.4,141.6,227.0,102.4,54.9,37.1,2.7
RAICHUR,2011,0.0,0.0,0.8,34.0,29.0,68.1,103.5,124.4,44.7,37.2,1.1,0.0
RAMANAGARA,2010,,,2.8,53.8,104.6,53.8,93.9,106.9,112.0,108.9,193.2,0.7
RAMANAGARA,2011,0.0,15.5,13.4,121.0,146.4,48.5,128.4,113.2,58.7,202.6,61.7,2.2
SHIVAMOGGA,2008,0.0,12.8,149.0,25.7,43.7,414.6,446.5,642.2,202.9,63.8,7.7,0.0
SHIVAMOGGA,2009,0.0,0.0,31.0,18.2,103.5,195.2,1323.5,213.9,352.1,181.4,84.9,19.2
SHIVAMOGGA,2010,17.1,0.0,1.8,60.1,87.2,383.0,706.4,502.1,359.6,182.2,176.9,2.3
SHIVAMOGGA,2011,0.0,2.0,1.6,55.1,42.1,549.0,659.8,522.1,365.2,149.3,47.6,0.0
TUMKUR,2008,0.0,38.8,92.6,14.9,94.6,77.8,139.1,216.8,135.8,118.2,26.7,0.6
TUMKUR,2009,0.3,0.0,27.1,23.8,117.5,81.4,42.9,142.0,220.9,68.6,45.6,3.5
TUMKUR,2010,6.6,0.0,6.3,79.8,114.9,74.6,127.6,164.5,109.8,118.0,179.5,0.1
TUMKUR,2011,0.0,2.7,1.7,91.2,103.1,56.8,65.3,86.9,41.5,133.7,31.4,1.6
UDUPI,2008,0.0,13.5,269.3,30.7,55.7,1173.8,712.6,831.2,537.6,160.1,20.8,7.3
UDUPI,2009,0.0,0.0,27.6,13.9,103.3,659.3,2281.5,713.6,743.0,318.4,163.0,27.6
UDUPI,2010,14.6,0.0,0.0,65.6,86.1,989.6,1515.4,911.0,633.0,492.1,221.7,21.0
UDUPI,2011,0.0,0.0,0.0,40.2,35.3,1443.5,1517.0,1157.8,811.3,205.2,126.1,0.6
UTTARA KANNADA,2008,0.0,5.3,95.3,11.9,40.0,697.5,545.6,831.9,311.7,51.9,8.4,1.5
UTTARA KANNADA,2009,0.0,0.0,27.6,16.4,83.1,428.0,1412.6,365.7,503.2,267.1,113.0,12.6
UTTARA KANNADA,2010,8.9,0.0,1.7,48.9,74.4,625.0,1206.2,555.2,497.0,261.8,195.0,6.3
UTTARA KANNADA,2011,0.0,0.5,0.0,65.3,24.6,948.3,1062.5,880.6,557.6,109.2,45.0,0.0
YADGIR,2011,0.0,3.9,0.1,34.5,47.4,50.8,174.1,162.3,49.5,52.5,0.1,0.0
