DISTRICTS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
MYSURU,2019,-100,190,-84,-19,31,-23,-13,329,15,25,5,54
MYSURU,2020,-100,5,42,-24,12,-11,24,74,33,-33,-33,25
HASSAN,2019,-100,149,-80,-17,20,-36,-43,150,35,71,-59,190
HASSAN,2020,-88,-100,-4,-7,70,-23,-21,29,33,1,-47,89
KODAGU,2019,-100,-64,-66,-19,-57,-49,-35,120,114,51,-32,76
KODAGU,2020,-100,-100,-30,34,38,-28,-50,66,126,-14,-69,-50
CHIKKAMAGALURU,2019,-100,176,-46,-36,-48,-45,-18,126,119,163,-63,227
CHIKKAMAGALURU,2020,-98,-100,-53,-6,45,-26,-43,52,110,5,-45,73
