date,city_name,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain,clouds_all,broken clouds,overcast clouds,scattered clouds,sky is clear,few clouds,fog,light rain,mist,haze,moderate rain,heavy intensity rain,light intensity drizzle,drizzle,heavy intensity drizzle,very heavy rain,thunderstorm with heavy rain,thunderstorm with rain,thunderstorm,proximity shower rain,thunderstorm with light rain,shower rain,light intensity shower rain,light thunderstorm
2010-01-10,Mysuru,24.87,25.3,21.09,30.44,1013.5,68.83,2.01,109.54,0.0,75.58,3,15,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-11,Hassan,22.27,22.78,19.75,28.41,1015.17,83.25,1.69,195.92,0.0,94.83,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-11,Kodagu,23.04,23.73,20.26,30.26,1014.79,90.79,0.71,149.21,6.1,89.54,5,11,0,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-11,Mysuru,25.21,25.43,20.6,31.08,1014.5,64.42,1.77,146.58,0.0,39.25,4,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,Hassan,22.2,22.68,19.38,28.16,1016.21,82.42,1.35,297.58,0.0,45.33,3,4,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,Kodagu,23.23,24.0,19.29,29.6,1015.83,84.25,0.96,151.5,1.32,47.62,10,0,3,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-12,Mysuru,25.14,25.27,20.73,31.07,1015.21,64.62,1.01,177.42,0.0,34.83,5,0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-13,Hassan,22.14,22.64,19.71,28.06,1016.42,84.29,1.31,102.33,7.23,76.33,6,7,2,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-13,Kodagu,23.31,24.28,19.66,31.65,1015.54,87.0,0.97,101.38,10.15,77.67,11,5,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-13,Mysuru,24.59,25.27,21.19,31.12,1015.88,76.62,1.24,93.08,2.2,62.83,2,8,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-14,Hassan,23.32,23.75,19.95,28.88,1016.25,73.75,2.51,88.54,0.0,76.17,9,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-14,Kodagu,24.3,25.47,20.74,33.18,1015.21,84.79,1.0,121.46,0.99,75.29,2,11,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-14,Mysuru,25.29,25.82,20.98,31.83,1015.83,68.21,2.56,97.42,0.0,62.38,0,12,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-15,Hassan,22.45,22.54,16.87,26.24,1017.75,69.17,3.53,91.0,0.0,89.04,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-15,Kodagu,24.14,24.91,19.36,30.99,1016.17,76.88,1.63,92.62,0.0,68.88,10,6,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-15,Mysuru,24.03,24.14,17.69,29.44,1017.17,62.5,2.93,85.75,0.0,40.38,8,0,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-16,Hassan,20.55,20.34,14.71,26.3,1018.88,62.54,3.22,77.79,0.0,39.33,4,6,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-16,Kodagu,22.92,23.09,16.94,29.49,1017.33,68.75,2.16,93.75,0.0,70.08,4,12,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-16,Mysuru,22.96,22.77,16.58,29.47,1018.33,62.25,2.81,82.62,0.0,53.04,6,5,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-17,Hassan,20.96,20.9,15.73,27.19,1018.5,67.83,2.41,81.33,0.0,41.25,3,6,1,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-17,Kodagu,23.2,23.37,17.79,30.25,1017.29,68.67,1.59,106.96,0.0,35.54,4,5,2,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-17,Mysuru,23.2,22.77,16.73,29.34,1018.17,55.17,2.47,91.46,0.0,37.62,6,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-18,Hassan,21.34,21.42,16.04,27.55,1017.38,70.71,1.7,121.21,0.0,12.75,0,0,3,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-18,Kodagu,22.88,23.37,17.69,31.15,1016.42,77.0,1.05,129.38,0.0,11.21,1,0,1,11,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-18,Mysuru,24.26,24.11,16.93,30.37,1016.5,58.29,2.07,91.08,0.0,27.12,5,0,5,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,Hassan,22.0,22.07,17.27,27.39,1015.17,68.33,1.74,114.79,0.0,19.88,0,0,9,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,Kodagu,23.08,23.74,18.11,30.4,1014.5,79.88,1.06,149.25,0.0,20.96,1,0,6,3,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-19,Mysuru,24.37,24.42,18.34,29.57,1014.79,63.04,2.21,94.12,0.0,30.96,1,0,9,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-20,Hassan,21.39,21.47,16.84,26.43,1016.25,71.79,1.77,141.33,0.0,35.46,3,0,14,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-20,Kodagu,22.81,23.4,18.76,29.37,1015.42,81.21,1.24,128.71,0.0,20.5,0,0,11,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-20,Mysuru,23.65,23.79,18.55,28.82,1015.79,65.25,2.14,92.38,0.0,21.71,0,0,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-21,Hassan,20.25,19.97,13.32,26.33,1015.33,60.71,2.42,60.0,0.0,3.5,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-21,Kodagu,22.93,23.3,17.59,30.07,1014.29,74.42,1.4,123.04,0.0,13.25,2,0,4,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-21,Mysuru,23.07,22.73,16.86,28.54,1014.75,56.08,2.07,64.12,0.0,8.67,1,0,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-22,Hassan,19.76,19.48,13.06,26.05,1015.17,63.54,2.01,116.96,0.0,2.46,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-22,Kodagu,22.35,22.56,16.83,29.12,1014.21,72.5,1.33,126.42,0.0,3.0,0,0,0,19,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-22,Mysuru,22.75,22.22,16.43,28.47,1014.54,51.38,1.93,80.96,0.0,0.12,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-23,Hassan,19.4,19.08,12.9,25.54,1015.0,64.62,2.28,105.79,0.0,0.46,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-23,Kodagu,22.31,22.48,16.5,29.23,1014.0,72.71,1.46,137.96,0.0,5.5,1,0,1,18,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-23,Mysuru,22.54,21.96,15.85,28.13,1014.5,49.83,2.21,72.17,0.0,0.17,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-24,Hassan,19.86,19.78,14.19,26.96,1013.79,70.38,1.26,188.62,0.0,3.42,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
